fsp,ont_id,serial_number,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/3,1,VOCIHBA7TL34SJS8,active,offline,initial,initial,no,The delightful chinchilla wriggles.
0/ 0/3,2,C6CS284RZ3H5S7R9,active,online,normal,match,no,The anxious revenue heaps.     
0/ 0/3,3,B3V4YPY6JDHC826I,active,,,,yes,The nonstop maracas forces.    
0/ 0/3,4,I24F2ELYJD2OO3OE,active,,,,yes,The hollow tortilla strokes.   
0/ 0/3,5,03F5UWYQN5U1EUGN,active,online,normal,mismatch,no,The measly buckle decides.     
0/ 0/4,0,36QPBH8RNMNFMVIL,active,offline,initial,initial,no,The industrious potato squeezes.
0/ 0/4,1,3MFU3SFDX90EZ5BD,active,online,normal,mismatch,no,The famous saddle achieves.    
0/ 0/4,2,EE7DK714ZGS3MG8K,active,online,normal,match,no,The waggish retreat shrugs.    
0/ 0/4,3,K9HUU8KZ62XA4938,active,,,,yes,The abrasive duffel sees.      
0/ 0/4,4,ZFRUTVMST8S8VW2U,active,offline,initial,initial,no,The snobbish zucchini drives.  
0/ 0/4,5,9SWGQSAE2M9C8Y9D,active,,,,yes,The tiny chalet heaps.         
0/ 0/5,0,USOQIQEZYZ0H4YTY,active,online,normal,match,no,The waggish trust remembers.   
0/ 0/6,0,SEG4WNEZTYQWG58H,active,offline,initial,initial,no,The yielding sandbar misleads. 
0/ 0/6,1,FU4EVYD237IB4TW8,active,online,normal,match,no,The classy tablecloth calculates.
0/ 0/7,0,D4N2GXSOIU70INRG,active,,,,yes,The fair yew sleeps.           
0/ 0/7,1,TYCBJNPA3POD557P,active,online,normal,match,no,The ripe baobab scares.        
0/ 0/7,2,4TKEXB4B06QXBSYZ,active,online,normal,match,no,The curved pleasure taps.      
0/ 0/7,3,U8W2AZNGSE0OEP1Q,active,online,normal,mismatch,no,The ill mantel wrestles.       
0/ 0/7,4,57Q26EDG7D9G91JY,active,,,,yes,The adaptable settler boils.   
0/ 0/7,5,ZKS6D2Z8WS0EP8IZ,active,online,normal,match,no,The ultra liar hits.           
0/ 0/7,6,B9EMVK4TJJ7TKNTX,active,,,,yes,The substantial upward beholds.
0/ 0/7,7,MWI5J8V8MPLD13W5,active,online,normal,match,no,The functional malice teaches. 
0/ 0/7,8,91R6XWYCRB44FEWN,active,online,normal,match,no,The aloof exile budgets.       
0/ 0/7,9,Z3EGCSUFL7B6P7EL,active,,,,yes,The real stream deceives.      
0/ 0/7,10,NNJ1V1726V85LP4C,active,online,normal,match,no,The auspicious astrakhan smashes.
0/ 0/7,11,OPP4VAIQRC2O722J,active,online,normal,mismatch,no,The chivalrous cannibal fails. 
0/ 0/7,12,XLE029DA7CAG8TEA,active,online,normal,match,no,The wicked quota begins.       
0/ 0/7,13,EJ354GZ3F0PRR2T8,active,offline,initial,initial,no,The sore colloquy briefs.      
0/ 0/7,14,1ZVM15LHNH2GC6SZ,active,online,normal,mismatch,no,The impossible calculus formulates.
0/ 0/7,15,A3GBV89S82EQ6RHT,active,,,,yes,The energetic fisting cares.   
0/ 0/7,16,8BPXVVF2O3SHID1B,active,online,normal,match,no,The hysterical peek beats.     
0/ 0/7,17,AKY9LOFA21MJ4UBL,active,online,normal,match,no,The distinct frigate breeds.   
0/ 0/7,18,IE0Z2XSHRMIJDESK,active,online,normal,match,no,The flashy mud hears.          
0/ 0/7,19,F1K7RLKQA6MVJ7GM,active,,,,yes,The concerned integration smashes.
0/ 0/7,20,OCB13SDNDS6OY86U,active,,,,yes,The aloof crook unfastens.     
